bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Bancários,AVN PARANAPUAM,"AVN PARANAPUAM, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,PRA CONGONHAS DO CAMPO,"PRA CONGONHAS DO CAMPO, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,RUA ANGELO PIMENTEL,"RUA ANGELO PIMENTEL, Bancários, Rio de Janeiro, RJ, Brasil",-22.7919867,-43.1812586,ok
Bancários,RUA CARLOS ILIDRO,"RUA CARLOS ILIDRO, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,RUA CERRO AZUL,"RUA CERRO AZUL, Bancários, Rio de Janeiro, RJ, Brasil",-22.7922414,-43.1807596,ok
Bancários,RUA COSTA DORIA,"RUA COSTA DORIA, Bancários, Rio de Janeiro, RJ, Brasil",-22.7946023,-43.1810921,ok
Bancários,RUA DOUTOR MANUEL MARREIROS,"RUA DOUTOR MANUEL MARREIROS, Bancários, Rio de Janeiro, RJ, Brasil",-22.7896949,-43.181222,ok
Bancários,RUA FRANCISCA MATOS,"RUA FRANCISCA MATOS, Bancários, Rio de Janeiro, RJ, Brasil",-22.7944085,-43.1785476,ok
Bancários,RUA GIPOIA,"RUA GIPOIA, Bancários, Rio de Janeiro, RJ, Brasil",-22.7894437,-43.1819447,ok
Bancários,RUA LELIO DE SOUZA,"RUA LELIO DE SOUZA, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,RUA MAX YANTOK,"RUA MAX YANTOK, Bancários, Rio de Janeiro, RJ, Brasil",-22.791445,-43.1831952,ok
Bancários,RUA QUATIS,"RUA QUATIS, Bancários, Rio de Janeiro, RJ, Brasil",-22.7904193,-43.1851964,ok
Bancários,RUA SEBASTIAO SAMPAIO,"RUA SEBASTIAO SAMPAIO, Bancários, Rio de Janeiro, RJ, Brasil",-22.8000528,-43.1761235,ok
Bancários,RUA VIUVA AMARAL,"RUA VIUVA AMARAL, Bancários, Rio de Janeiro, RJ, Brasil",-22.7985797,-43.1770204,ok
Bangu,AVN AYMARA XAVIER DE SOUZA,"AVN AYMARA XAVIER DE SOUZA, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN BRASIL,"AVN BRASIL, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN CONEGO VASCONCELOS,"AVN CONEGO VASCONCELOS, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN DE SANTA CRUZ,"AVN DE SANTA CRUZ, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN ENGEN PIRES REBELO,"AVN ENGEN PIRES REBELO, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN MINIST ARY FRANCO,"AVN MINIST ARY FRANCO, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN RAUL BARROS VIEIRA,"AVN RAUL BARROS VIEIRA, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,AVN RIBEIRO DANTAS,"AVN RIBEIRO DANTAS, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,ETR AGUA BRANCA,"ETR AGUA BRANCA, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,ETR CANCELA PRETA,"ETR CANCELA PRETA, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,ETR DO ENGENHO,"ETR DO ENGENHO, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,ETR DO GUANDU DO SENA,"ETR DO GUANDU DO SENA, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,ETR DO TAQUARAL,"ETR DO TAQUARAL, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,ETR PORTO NACIONAL,"ETR PORTO NACIONAL, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,RUA ABAETE,"RUA ABAETE, Bangu, Rio de Janeiro, RJ, Brasil",-22.8776603,-43.4568143,ok
Bangu,RUA ABELARDO BITTENCOURT,"RUA ABELARDO BITTENCOURT, Bangu, Rio de Janeiro, RJ, Brasil",-22.8612613,-43.457276,ok
Bangu,RUA AGLAIA,"RUA AGLAIA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8918185,-43.4654803,ok
Bangu,RUA AGRICOLA,"RUA AGRICOLA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8803862,-43.4587108,ok
Bangu,RUA ALCEDO COUTINHO,"RUA ALCEDO COUTINHO, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,RUA ALVARO SCHILLER,"RUA ALVARO SCHILLER, Bangu, Rio de Janeiro, RJ, Brasil",-22.8502335,-43.4669141,ok
Bangu,RUA AMANAJO,"RUA AMANAJO, Bangu, Rio de Janeiro, RJ, Brasil",-22.883259,-43.475245,ok
Bangu,RUA AMANCIO DA SILVA,"RUA AMANCIO DA SILVA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8847505,-43.4558484,ok
Bangu,RUA ANGELA DO AMARAL RANGEL,"RUA ANGELA DO AMARAL RANGEL, Bangu, Rio de Janeiro, RJ, Brasil",-22.885282,-43.4790915,ok
Bangu,RUA ANTONIO BRASIL,"RUA ANTONIO BRASIL, Bangu, Rio de Janeiro, RJ, Brasil",-22.8843209,-43.4558478,ok
Bangu,RUA ARABELA,"RUA ARABELA, Bangu, Rio de Janeiro, RJ, Brasil",-22.878538,-43.4800397,ok
Bangu,RUA ARAQUEM,"RUA ARAQUEM, Bangu, Rio de Janeiro, RJ, Brasil",-22.8601372,-43.4615854,ok
Bangu,RUA ARARI,"RUA ARARI, Bangu, Rio de Janeiro, RJ, Brasil",-22.8657461,-43.4534201,ok
Bangu,RUA B PAA 9945/PAL 36287,"RUA B PAA 9945/PAL 36287, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,RUA BALSA NOVA,"RUA BALSA NOVA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8799361,-43.4798439,ok
Bangu,RUA BANGU,"RUA BANGU, Bangu, Rio de Janeiro, RJ, Brasil",-22.8835459,-43.46643,ok
Bangu,RUA BARAO DE CAPANEMA,"RUA BARAO DE CAPANEMA, Bangu, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bangu,RUA BELILA,"RUA BELILA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8751012,-43.4720125,ok
Bangu,RUA BELO HORIZONTE,"RUA BELO HORIZONTE, Bangu, Rio de Janeiro, RJ, Brasil",-22.8824195,-43.4580804,ok
Bangu,RUA BIRIBA,"RUA BIRIBA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8930159,-43.4707557,ok
Bangu,RUA BOARIA,"RUA BOARIA, Bangu, Rio de Janeiro, RJ, Brasil",-22.8951824,-43.470372,ok
Bangu,RUA BOIOBI,"RUA BOIOBI, Bangu, Rio de Janeiro, RJ, Brasil",-22.8790734,-43.4734619,ok
Bangu,RUA BOMBAIM,"RUA BOMBAIM, Bangu, Rio de Janeiro, RJ, Brasil",-22.8885313,-43.476904,ok
